Title,Genre,parent_genre,parent_genre_str,metadata,poster,IMDB Score,Runtime,Language,Premiere
the girl on the train,thriller,['action'],action,movie title is the girl on the train. genre is action. language is hindi.,https://m.media-amazon.com/images/M/MV5BZTg4MGViYTMtYTFkMC00YzVlLWExZDItOTM4NTUwMjc2NTE2XkEyXkFqcGc@._V1_SX300.jpg,4.4,120,hindi,"February 26, 2021"
thunder force,superhero comedy,"['comedy', 'action']","comedy, action","movie title is thunder force. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BODU5ZThhYmUtODgzZi00MDVjLThjZmItMzM3YjkwMjE4MzcxXkEyXkFqcGc@._V1_SX300.jpg,4.4,105,english,"April 9, 2021"
fatal affair,thriller,['action'],action,movie title is fatal affair. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BY2M3OGY2YjgtNTBlNi00NDA4LWEzZDMtMjIzNDRhYjJmOGVmXkEyXkFqcGc@._V1_SX300.jpg,4.5,89,english,"July 16, 2020"
just say yes,romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is just say yes. genre is comedy, romance. language is dutch.",https://m.media-amazon.com/images/M/MV5BNDA4ZTAxM2MtMjczYy00YjhlLThhNzgtNTQwYTYwNWExZmU0XkEyXkFqcGc@._V1_SX300.jpg,4.5,97,dutch,"April 2, 2021"
seriously single,comedy,['comedy'],comedy,movie title is seriously single. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BYjFmNDM4YTYtNDU0Yi00ZmNhLWFlNGMtYzY0MTgzZjM2ZjQzXkEyXkFqcGc@._V1_SX300.jpg,4.5,107,english,"July 31, 2020"
the misadventures of hedi and cokeman,comedy,['comedy'],comedy,movie title is the misadventures of hedi and cokeman. genre is comedy. language is french.,https://m.media-amazon.com/images/M/MV5BYjg4YjczOGYtODRmYS00ODBmLWFjMTMtMmVmOGFmZDFiNzgwXkEyXkFqcGc@._V1_SX300.jpg,4.5,99,french,"February 10, 2021"
after maria,documentary,['documentary'],documentary,movie title is after maria. genre is documentary. language is english/spanish.,https://m.media-amazon.com/images/M/MV5BYjZjYjFmNTYtNjgyNy00MTQ0LTg0MTYtYjQ1NTI2OTFiNTcyXkEyXkFqcGc@._V1_SX300.jpg,4.6,37,english/spanish,"May 24, 2019"
i am the pretty thing that lives in the house,horror,['horror'],horror,movie title is i am the pretty thing that lives in the house. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYTU3YjY5YjAtY2ZkMS00YzI3LWFmNjQtYWI5N2RhMWU5Y2ViXkEyXkFqcGc@._V1_SX300.jpg,4.6,89,english,"October 28, 2016"
paris is us,romance drama,"['romance', 'drama']","romance, drama","movie title is paris is us. genre is romance, drama. language is french.",https://m.media-amazon.com/images/M/MV5BODUwOTM2OTUtNDFkZi00OTkwLTk4ZTYtNTA1MTRhZDcyZGM4XkEyXkFqcGc@._V1_SX300.jpg,4.6,83,french,"February 22, 2019"
rattlesnake,horror,['horror'],horror,movie title is rattlesnake. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYWI3NWJhY2YtMmQzNC00YmJhLTkyYWUtOTU5YWViM2ZjNTJjXkEyXkFqcGc@._V1_SX300.jpg,4.6,85,english,"October 25, 2019"
the players,comedy,['comedy'],comedy,movie title is the players. genre is comedy. language is italian.,https://m.media-amazon.com/images/M/MV5BZGJiYTA0NDMtZjdlYS00ZjBkLWI2ZjctOTIxODRiMDE2MmRmXkEyXkFqcGc@._V1_SX300.jpg,4.6,88,italian,"July 15, 2020"
we are one,documentary,['documentary'],documentary,movie title is we are one. genre is documentary. language is french.,https://m.media-amazon.com/images/M/MV5BNjBhM2ZmMGUtYjMwMS00ZDcxLThkNWQtZjc1ZDY0ODM1NWZiXkEyXkFqcGc@._V1_SX300.jpg,4.6,86,french,"July 14, 2020"
finding agnes,drama,['drama'],drama,movie title is finding agnes. genre is drama. language is filipino.,https://m.media-amazon.com/images/M/MV5BMjY5NmVjNDktNTY1ZC00YjQxLWE1NGYtMDM1OTI1MWNhYjRjXkEyXkFqcGc@._V1_SX300.jpg,4.7,105,filipino,"November 30, 2020"
io,science fiction drama,"['scifi', 'drama']","scifi, drama","movie title is io. genre is scifi, drama. language is english.",https://m.media-amazon.com/images/M/MV5BN2RiYTkyMjMtYTljOS00ZDJiLWJhMWItMGYzNzJkYmE1NTMzXkEyXkFqcGc@._V1_SX300.jpg,4.7,95,english,"January 18, 2019"
sentinelle,action,['action'],action,movie title is sentinelle. genre is action. language is french.,https://m.media-amazon.com/images/M/MV5BNzI5MzE4MjAtYWE4YS00NjFlLTk0MDMtNjJhYmY5ZjJlNGUzXkEyXkFqcGc@._V1_SX300.jpg,4.7,80,french,"March 5, 2021"
sol levante,anime short,['animation'],animation,movie title is sol levante. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BY2ExYjA0MjEtYjgyYS00YTA0LWI2NWQtNDE2MjFlZmRkOWY2XkEyXkFqcGc@._V1_SX300.jpg,4.7,4,english,"April 2, 2020"
the binding,drama,['drama'],drama,movie title is the binding. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BYjk3ZDdkZmMtMjQ0Yi00Nzc5LTk5NDUtMDIxMzcxNjA4MzhkXkEyXkFqcGc@._V1_SX300.jpg,4.7,93,italian,"October 2, 2020"
we can be heroes,superhero,['action'],action,movie title is we can be heroes. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BODdkYTdhMGItNTg3Zi00NzczLWI2YjgtZThlNTFjZjBlYzFiXkEyXkFqcGc@._V1_SX300.jpg,4.7,100,english,"December 25, 2020"
christmas crossfire,thriller,['action'],action,movie title is christmas crossfire. genre is action. language is german.,https://m.media-amazon.com/images/M/MV5BMzA4NzkzNTktY2Y5NS00OTg1LTk2NWEtM2U1MzU3NDIwNDJkXkEyXkFqcGc@._V1_SX300.jpg,4.8,106,german,"December 4, 2020"
coin heist,heist,['action'],action,movie title is coin heist. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BMWU0NmM5ZmMtMzJkMy00ZGFiLThlMGMtYzE2MmE1YTdjNGFiXkEyXkFqcGc@._V1_SX300.jpg,4.8,97,english,"January 6, 2017"
nobody sleeps in the woods tonight,horror,['horror'],horror,movie title is nobody sleeps in the woods tonight. genre is horror. language is polish.,https://m.media-amazon.com/images/M/MV5BNmM4NzlkMGMtMWFhYi00MzVjLWE3NjEtZDBjNWViYmM4YmY4XkEyXkFqcGc@._V1_SX300.jpg,4.8,103,polish,"October 28, 2020"
take the 10,comedy,['comedy'],comedy,movie title is take the 10. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMWM4ZDc5N2UtMTgyYS00ZThkLTljNTgtNDA3MzE4OTdhYmM3XkEyXkFqcGc@._V1_SX300.jpg,4.8,80,english,"January 20, 2017"
the main event,comedy,['comedy'],comedy,movie title is the main event. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZjg1MzE4MWUtZDc4NC00NDg1LWFhNDktNDNjOTk5MGQ3MTA4XkEyXkFqcGc@._V1_SX300.jpg,4.8,101,english,"April 10, 2020"
the ridiculous 6,western,['western'],western,movie title is the ridiculous 6. genre is western. language is english.,https://m.media-amazon.com/images/M/MV5BNzM2NWQzMzAtYzdiNi00YTk0LWEyNjQtOTJkMTk4YTdlYmY2XkEyXkFqcGc@._V1_SX300.jpg,4.8,119,english,"December 11, 2015"
earth and blood,action,['action'],action,movie title is earth and blood. genre is action. language is french.,https://m.media-amazon.com/images/M/MV5BOThhZjNiZDUtOTAwMC00NjVmLThjNTgtNTZkMThjYWU1Y2EyXkEyXkFqcGc@._V1_SX300.jpg,4.9,80,french,"April 17, 2020"
fearless,animation superhero,"['animation', 'action']","animation, action","movie title is fearless. genre is animation, action. language is english.",https://m.media-amazon.com/images/M/MV5BNjI1N2ZmOWMtODE2ZS00MzU5LWJhMzYtNWNmNDQ2NGIzNDM0XkEyXkFqcGc@._V1_SX300.jpg,4.9,89,english,"August 14, 2020"
holiday rush,family film,['family'],family,movie title is holiday rush. genre is family. language is english.,https://m.media-amazon.com/images/M/MV5BMWQ5MzAxNDktYTU5My00ZGU2LThhMjEtZmEzM2UxNjIxODk3XkEyXkFqcGc@._V1_SX300.jpg,4.9,94,english,"November 28, 2019"
the day of the lord,drama,['drama'],drama,movie title is the day of the lord. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BYzZlYmU2ODQtM2FkNC00ZTY5LTk3YjktMTg0NjY5OTk5ZjA1XkEyXkFqcGc@._V1_SX300.jpg,4.9,93,spanish,"October 30, 2020"
airplane mode,comedy,['comedy'],comedy,movie title is airplane mode. genre is comedy. language is portuguese.,https://m.media-amazon.com/images/M/MV5BYmFmMGY1OTYtOWE2OS00ZDlhLThjN2UtMmNiZWNjOGEyM2IwXkEyXkFqcGc@._V1_SX300.jpg,5.0,96,portuguese,"January 23, 2020"
how it ends,action thriller,['action'],action,movie title is how it ends. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BMjMwOTg0MzU4MV5BMl5BanBnXkFtZTgwODk2NjY3NTM@._V1_SX300.jpg,5.0,113,english,"July 13, 2018"
love like the falling rain,drama,['drama'],drama,movie title is love like the falling rain. genre is drama. language is indonesian.,https://m.media-amazon.com/images/M/MV5BOTk0MzRmNzMtYTRiYy00YTRlLTgwZDItZDE2YjE0MmZmN2E3XkEyXkFqcGc@._V1_SX300.jpg,5.0,86,indonesian,"October 15, 2020"
squared love,romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is squared love. genre is comedy, romance. language is polish.",https://m.media-amazon.com/images/M/MV5BMDdkMzNmMWYtZGNhYS00ZmI5LWI4ZTktNjFlNTMyNjQ1ZDJkXkEyXkFqcGc@._V1_SX300.jpg,5.0,102,polish,"February 11, 2021"
cadaver,horror,['horror'],horror,movie title is cadaver. genre is horror. language is norwegian.,https://m.media-amazon.com/images/M/MV5BZGNkYWJhZDAtZTk3Ni00MGRkLTgzMzYtNDc1NWYyZjQzMTZmXkEyXkFqcGc@._V1_SX300.jpg,5.1,86,norwegian,"October 22, 2020"
clinical,thriller,['action'],action,movie title is clinical. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BMjMzNTkwNzMyMF5BMl5BanBnXkFtZTgwNTg2MzIxMTI@._V1_SX300.jpg,5.1,104,english,"January 13, 2017"
coffee & kareem,action comedy,"['comedy', 'action']","comedy, action","movie title is coffee & kareem. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BMTQ0ZDZjY2EtZjlkZi00YmNhLTljOGItYzhlYTliMmIzZDliXkEyXkFqcGc@._V1_SX300.jpg,5.1,88,english,"April 3, 2020"
dude,teen comedy drama,"['comedy', 'drama']","comedy, drama","movie title is dude. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BMTk1NjA2ODk2NV5BMl5BanBnXkFtZTgwNjkyMTA0NTM@._V1_SX300.jpg,5.1,97,english,"April 20, 2018"
geez & ann,romantic drama,"['romance', 'drama']","romance, drama","movie title is geez & ann. genre is romance, drama. language is indonesian.",https://m.media-amazon.com/images/M/MV5BMzFiMzRkY2YtYTMyOC00MjY3LWE0NjYtOTFlNjE5ZDliMTc1XkEyXkFqcGc@._V1_SX300.jpg,5.1,105,indonesian,"February 25, 2021"
the larva island movie,animation,['animation'],animation,movie title is the larva island movie. genre is animation. language is english.,https://m.media-amazon.com/images/M/MV5BMWQxOGE1NDctMTMyNC00YzZiLThmMjYtMTYxNGU4ZTlhNWRmXkEyXkFqcGc@._V1_SX300.jpg,5.1,90,english,"July 23, 2020"
#realityhigh,comedy,['comedy'],comedy,movie title is #realityhigh. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BNDcwMjViZDktMjM4MC00NzdlLWIxZDEtMTlkMGUxYTdmNDY1XkEyXkFqcGc@._V1_SX300.jpg,5.2,99,english,"September 8, 2017"
desperados,romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is desperados. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNjYwZGM2MTQtOTdlZi00MmEzLTk5ZjYtMTA4YTFiYjQ2ODk5XkEyXkFqcGc@._V1_SX300.jpg,5.2,106,english,"July 3, 2020"
father of the year,comedy,['comedy'],comedy,movie title is father of the year. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BNTMzNjE4NjE2MV5BMl5BanBnXkFtZTgwOTc1NjE4NTM@._V1_SX300.jpg,5.2,94,english,"July 20, 2018"
firebrand,drama,['drama'],drama,movie title is firebrand. genre is drama. language is marathi.,https://m.media-amazon.com/images/M/MV5BZWZlNGE3MjgtNTg4MS00M2NjLTg3NzYtMDNlOWUxNGUxNDhkXkEyXkFqcGc@._V1_SX300.jpg,5.2,112,marathi,"February 22, 2019"
ghost lab,horror,['horror'],horror,movie title is ghost lab. genre is horror. language is thai.,https://m.media-amazon.com/images/M/MV5BNGNmODAwYTEtMGVmMi00ZTk4LThlYjAtYWVmZjlkOGVhNDA4XkEyXkFqcGc@._V1_SX300.jpg,5.2,117,thai,"May 26, 2021"
girlfriend's day,comedy,['comedy'],comedy,movie title is girlfriend's day. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMzk1MjFmMWQtNWYwOC00OTBjLTk1NmItNTU0NzBlYzg4OTFiXkEyXkFqcGc@._V1_SX300.jpg,5.2,70,english,"February 14, 2017"
handsome: a netflix mystery movie,comedy,['comedy'],comedy,movie title is handsome: a netflix mystery movie. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMzIyMzA5MDU3M15BMl5BanBnXkFtZTgwNjk1MjA4MTI@._V1_SX300.jpg,5.2,81,english,"May 5, 2017"
hubie halloween,comedy,['comedy'],comedy,movie title is hubie halloween. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZTlkMDdiNmUtOTQwYS00ZTE5LWJlMWEtNzMyN2M2MWIzZTMzXkEyXkFqcGc@._V1_SX300.jpg,5.2,103,english,"October 7, 2020"
ibiza,comedy,['comedy'],comedy,movie title is ibiza. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTczMTA5ODMxOV5BMl5BanBnXkFtZTgwNTgwNDkzNTM@._V1_SX300.jpg,5.2,94,english,"May 25, 2018"
rim of the world,science fiction adventure,"['adventure', 'scifi']","adventure, scifi","movie title is rim of the world. genre is adventure, scifi. language is english.",https://m.media-amazon.com/images/M/MV5BMjAyNTE0MTQzNF5BMl5BanBnXkFtZTgwMjc2MzUwODM@._V1_SX300.jpg,5.2,98,english,"May 24, 2019"
sandy wexler,comedy,['comedy'],comedy,movie title is sandy wexler. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMTY1NDIwMjQ1OF5BMl5BanBnXkFtZTgwMzUzMjI4MTI@._V1_SX300.jpg,5.2,131,english,"April 14, 2017"
see you yesterday,science fiction,['scifi'],scifi,movie title is see you yesterday. genre is scifi. language is english.,https://m.media-amazon.com/images/M/MV5BMTI1OGY0NjgtN2JhYS00OGRhLTliNGYtYTcwZDIwMDhkOGZiXkEyXkFqcGc@._V1_SX300.jpg,5.2,87,english,"May 17, 2019"
still laugh-in: the stars celebrate,variety show,['other'],other,movie title is still laugh-in: the stars celebrate. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BOTAzZGYwY2ItNDUzZC00OTc5LWI2OGYtNDQwOGMwMWE4MjBmXkEyXkFqcGc@._V1_SX300.jpg,5.2,60,english,"May 14, 2019"
"strip down, rise up",documentary,['documentary'],documentary,"movie title is strip down, rise up. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BMmExZWE1ZjUtN2EzMC00ZmRkLTk2YTgtZTkzZGE2YjE0ZTRlXkEyXkFqcGc@._V1_SX300.jpg,5.2,112,english,"February 5, 2021"
tall girl,comedy drama,"['comedy', 'drama']","comedy, drama","movie title is tall girl. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BNmUwYzA0MzQtMjU2ZS00OWI0LWEzZjctYWE0NDdhOTFiNDc4XkEyXkFqcGc@._V1_SX300.jpg,5.2,102,english,"September 13, 2019"
the beast,drama,['drama'],drama,movie title is the beast. genre is drama. language is italian.,https://m.media-amazon.com/images/M/MV5BYWMwNjdiYmItNDNiNS00ODEyLWI1MDctYjdhMTI1MGZkNGRkXkEyXkFqcGc@._V1_SX300.jpg,5.2,99,italian,"November 27, 2020"
the week of,comedy,['comedy'],comedy,movie title is the week of. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjUwMjczMzY5OV5BMl5BanBnXkFtZTgwMjgyMTczNTM@._V1_SX300.jpg,5.2,116,english,"April 27, 2018"
a christmas prince: the royal wedding,romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is a christmas prince: the royal wedding. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BODU5M2FmMmUtMjQ1ZC00YTAzLWJiYjEtMTk5ZjI3MTYzZWQ0XkEyXkFqcGc@._V1_SX300.jpg,5.3,92,english,"November 30, 2018"
back to school,comedy,['comedy'],comedy,movie title is back to school. genre is comedy. language is french.,https://m.media-amazon.com/images/M/MV5BMGFhMzM3MDYtNzU2Mi00MTczLWIzOGMtNzU0NjZiYjQ3NWU5XkEyXkFqcGc@._V1_SX300.jpg,5.3,83,french,"August 30, 2019"
dangerous lies,thriller,['action'],action,movie title is dangerous lies. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BYWNhYmRlMTEtMTNlNi00NzYxLWEyM2ItNjI0MzFhMzU4ODQzXkEyXkFqcGc@._V1_SX300.jpg,5.3,97,english,"April 30, 2020"
gunjan saxena: the kargil girl,drama,['drama'],drama,movie title is gunjan saxena: the kargil girl. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BZWQwYzY1MjEtOTczOS00YzU1LTkyYWEtOTYxNWQwZTYwZTI4XkEyXkFqcGc@._V1_SX300.jpg,5.3,112,hindi,"August 12, 2020"
intuition,thriller,['action'],action,movie title is intuition. genre is action. language is spanish.,https://m.media-amazon.com/images/M/MV5BYTE0NDdkNGItM2JhMi00NTZmLWFkOTgtNmIzNzlmNjI1MmYxXkEyXkFqcGc@._V1_SX300.jpg,5.3,116,spanish,"May 28, 2020"
the most assassinated woman in the world,thriller,['action'],action,movie title is the most assassinated woman in the world. genre is action. language is french.,https://m.media-amazon.com/images/M/MV5BN2EyODRiODktMmU3OS00OTlmLWFlYmItOWM2ZjFiYzlmM2U3XkEyXkFqcGc@._V1_SX300.jpg,5.3,102,french,"September 7, 2018"
things heard & seen,horror,['horror'],horror,movie title is things heard & seen. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BYTFlOThmZWYtYTk4Yi00MzFlLWJhOTEtMTU0NTcxNWJiZjRhXkEyXkFqcGc@._V1_SX300.jpg,5.3,121,english,"April 29, 2021"
"to each, her own",romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is to each, her own. genre is comedy, romance. language is french.",https://m.media-amazon.com/images/M/MV5BMjhkNmM5MTctMTI5Ny00ZTcyLWJhYjEtNDQ4ZTFiOTA3ZmM2XkEyXkFqcGc@._V1_SX300.jpg,5.3,95,french,"June 24, 2018"
who would you take to a deserted island?,drama,['drama'],drama,movie title is who would you take to a deserted island?. genre is drama. language is spanish.,https://m.media-amazon.com/images/M/MV5BZTIzZjhiNTEtYjk3Ni00ZjM2LWFmMGEtZmQwODIyZmNjNjYxXkEyXkFqcGc@._V1_SX300.jpg,5.3,93,spanish,"April 12, 2019"
xoxo,drama,['drama'],drama,movie title is xoxo. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BNjkzNzI4MjQ5NV5BMl5BanBnXkFtZTgwNjc3MzM2OTE@._V1_SX300.jpg,5.3,92,english,"August 26, 2016"
a babysitter's guide to monster hunting,comedy fantasy family,"['comedy', 'fantasy', 'family']","comedy, fantasy, family","movie title is a babysitter's guide to monster hunting. genre is comedy, fantasy, family. language is english.",https://m.media-amazon.com/images/M/MV5BZGY2MmRjYjEtMTUxMi00NGY0LThiOGItNmNlMDIwN2I1MGIwXkEyXkFqcGc@._V1_SX300.jpg,5.4,98,english,"October 15, 2020"
a christmas prince: the royal baby,romantic comedy,"['comedy', 'romance']","comedy, romance","movie title is a christmas prince: the royal baby. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNzEyM2UyMTYtZDI4ZS00MzM2LWE0MjgtMTU4YjI5NmNkMjU2XkEyXkFqcGc@._V1_SX300.jpg,5.4,85,english,"December 5, 2019"
despite everything,comedy,['comedy'],comedy,movie title is despite everything. genre is comedy. language is spanish.,https://m.media-amazon.com/images/M/MV5BMTY2MDQzMjc0MV5BMl5BanBnXkFtZTgwODczNTU2NzM@._V1_SX300.jpg,5.4,78,spanish,"May 3, 2019"
